redshifts,Ts,Tk,xH
35.371912840518874,85.83023834228516,26.17168617248535,0.9999921917915344
34.65873874574053,84.9136962890625,25.181631088256836,0.9999921917915344
33.95954844366764,83.95563507080078,24.222991943359375,0.9999919533729553
33.27406774254275,83.00995635986328,23.250524520874023,0.9999912977218628
32.60202782691232,82.08512878417969,22.339731216430664,0.9999890923500061
31.943165152209147,81.17657470703125,21.495784759521484,0.999984860420227
31.297221341401723,80.20503997802734,20.65254783630371,0.999980092048645
30.663943083670105,79.1396713256836,19.8444766998291,0.9999765157699585
30.043082035068537,78.04489135742188,19.07038688659668,0.9999737739562988
29.43439472113583,76.97880554199219,18.331707000732422,0.9999684691429138
28.83764244141539,75.74417114257812,17.61733055114746,0.9999540448188782
28.252591175847343,74.47240447998047,16.916263580322266,0.9999297857284546
27.679011492996153,73.11611938476562,16.256690979003906,0.9999028444290161
27.116678460077683,71.75143432617188,15.626331329345703,0.9998643398284912
26.565371554750413,70.19448852539062,15.011231422424316,0.9997913241386414
26.024874578636265,68.54341125488281,14.43014907836914,0.9996815919876099
25.49497557253708,66.78136444091797,13.871733665466309,0.9995570182800293
24.975466733313517,64.85758972167969,13.3362398147583,0.9993643164634705
24.466144332393796,62.77560806274414,12.816617012023926,0.9989718198776245
23.966808635880273,60.470890045166016,12.324284553527832,0.9984983205795288
23.47726382622258,58.074737548828125,11.854338645935059,0.9980804324150085
22.997317925426564,55.5514030456543,11.399094581604004,0.9972130060195923
22.526782719768953,52.900081634521484,10.976343154907227,0.9955447912216187
22.065473685988184,50.076210021972656,10.568925857543945,0.9940997958183289
21.613209918922486,47.1971321105957,10.184907913208008,0.993232786655426
21.169814060566797,44.2738037109375,9.824305534362793,0.9925151467323303
20.73511223052075,41.346641540527344,9.485848426818848,0.9919674396514893
20.308933957800402,38.42108917236328,9.170568466186523,0.9910392761230469
19.891112113987003,35.55642318725586,8.880125999450684,0.9891247153282166
19.481482847686554,32.80044937133789,8.614826202392578,0.9866269826889038
19.079885520274487,30.194116592407227,8.376218795776367,0.9848031997680664
18.686162642900236,27.770456314086914,8.165787696838379,0.9832237362861633
18.300159814727028,25.526382446289062,7.985355377197266,0.9806743264198303
17.921725662382652,23.470508575439453,7.837396621704102,0.977769672870636
17.55071178059745,21.62192153930664,7.724724769592285,0.9752629399299622
17.1869726740063,19.89189338684082,7.649905204772949,0.9721221327781677
16.8303657000917,18.462182998657227,7.616922855377197,0.9687689542770386
16.48075101324565,17.237083435058594,7.6300272941589355,0.9653277397155762
16.13799150992833,16.213586807250977,7.695283889770508,0.9614740014076233
15.801952774902105,15.368294715881348,7.817881107330322,0.9574903249740601
15.472503028519771,14.71739387512207,8.003981590270996,0.9531766176223755
15.149513075046361,14.241942405700684,8.262823104858398,0.9486518502235413
14.832856251994244,13.940637588500977,8.602961540222168,0.9438490867614746
14.522408380451655,13.812061309814453,9.035813331604004,0.9387978315353394
14.218047716385176,13.857080459594727,9.573575973510742,0.9334821701049805
13.919654902897069,14.07640552520752,10.233161926269531,0.9278889894485474
13.627112923418732,14.491972923278809,11.0333833694458,0.922050416469574
13.340307055821944,15.10212230682373,11.993338584899902,0.9159198999404907
13.059124827429871,15.925354957580566,13.142280578613281,0.9095277786254883
12.783455970910225,16.97892951965332,14.507370948791504,0.9028408527374268
12.51319238103325,18.28692054748535,16.12135887145996,0.8958721160888672
12.248228072277595,19.857444763183594,18.019515991210938,0.8886043429374695
11.988459137267444,21.760257720947266,20.252887725830078,0.8810228705406189
11.733783706024601,24.02022933959961,22.874004364013672,0.8731077909469604
11.484101906019557,26.669893264770508,25.930862426757812,0.864841103553772
11.239315823005862,29.788652420043945,29.52372169494629,0.8562066555023193
10.999329462622459,33.4393196105957,33.73523712158203,0.8471776247024536
10.764048712748902,37.6771125793457,38.64204406738281,0.8377207517623901
10.533381306598718,42.59663009643555,44.38197708129883,0.8278197646141052
10.307236786536416,48.28325653076172,51.0712890625,0.8174135088920593
10.085526468603975,54.81655502319336,58.83591842651367,0.806479275226593
9.868163407742884,62.33298110961914,67.87431335449219,0.7949610352516174
9.655062363698107,70.93515014648438,78.39519500732422,0.7828035354614258
9.4461397675906,80.81315612792969,90.67512512207031,0.7699529528617859
9.241313689145251,92.15203094482422,105.04353332519531,0.7563322186470032
9.040503804561434,105.13823699951172,121.8345718383789,0.741891086101532
8.84363136501353,119.96926879882812,141.47125244140625,0.7265280485153198
8.650619165769102,136.98931884765625,164.3814697265625,0.7101897597312927
8.461391515912572,156.288818359375,191.28192138671875,0.692769467830658
8.27587420866258,178.17919921875,222.8055419921875,0.6741694808006287
8.093994492271333,203.04644775390625,259.8960876464844,0.6543105244636536
7.915681041494562,231.1638641357422,303.3108215332031,0.6330727934837341
7.740863929620893,262.498046875,353.9277038574219,0.6103424429893494
7.569474601049656,297.376708984375,412.9319763183594,0.5860162377357483
7.401445844406391,335.9588928222656,481.6369323730469,0.5599647760391235
7.23671176618549,378.58203125,561.8165283203125,0.5320858955383301
7.075207764909662,425.54351806640625,655.7233276367188,0.5022072792053223
6.916870505796062,476.760009765625,765.1743774414062,0.47023510932922363
6.761637895919173,531.8734130859375,891.6373901367188,0.43605804443359375
6.609449059860682,590.3261108398438,1035.8585205078125,0.39960429072380066
6.460244315836814,651.5301513671875,1198.7838134765625,0.36079615354537964
6.313965152293753,714.8176879882812,1380.26416015625,0.3197777271270752
6.170554204961981,778.6504516601562,1577.232666015625,0.2767140567302704
6.029955234360525,846.4232788085938,1791.033447265625,0.23220865428447723
5.892113103742304,912.3626098632812,2023.0692138671875,0.1867370307445526
5.756973757471912,978.603271484375,2274.505859375,0.14178946614265442
5.624484199827373,1045.1851806640625,2545.926513671875,0.09956887364387512
5.494592474217543,1112.6519775390625,2837.2509765625,0.06228558346629143
5.367247642807014,1179.3013916015625,3149.232666015625,0.03173767775297165
5.2423997665405295,1245.908935546875,3483.20849609375,0.010895555838942528
5.119999885559082,1312.1322021484375,3840.68505859375,0.0020949800964444876
5.0,1378.2156982421875,4222.8798828125,0.000222465256229043
